occluder_size,n,mean,sd,median,min,max
8,1280,1.3631603829562664,1.631577830950378,0.862945556640625,-1.415815353393555,9.697853088378906
16,1280,3.136757459625369,3.363274801138899,2.1466188430786133,-1.4913067817687988,15.748580932617188
32,1280,9.644511731422972,10.482752857861536,4.717663586139679,-1.7413086891174316,44.01305389404297
64,1280,24.595730280521092,26.79426832172944,7.394743025302887,-1.9858455657958984,95.394775390625
