model_type,placement_type,occluder_size,n,mean,sd,median,min,max
resnet50_geirhos_tl,random,8,320,-0.002258046716451652,0.3608537831084741,0.00621628761291495,-1.415815353393555,1.4033880233764648
resnet50_geirhos_tl,random,16,320,0.16762222349643707,0.5278735819962654,0.141514778137207,-1.4913067817687988,2.1707606315612797
resnet50_geirhos_tl,random,32,320,0.9939973125234246,1.233134287792789,0.7764971256256104,-1.7413086891174316,6.040605545043945
resnet50_geirhos_tl,random,64,320,3.3406721257953906,2.0584697593331422,3.279183506965637,-1.9858455657958984,9.27384114265442
resnet50_geirhos_tl,targeted,8,320,1.1374805979430676,0.5743461725475302,1.0791592597961426,-0.1056816577911377,3.241193652153015
resnet50_geirhos_tl,targeted,16,320,2.1864736741175874,0.9771187073999331,2.082329034805298,0.4488680362701416,6.091955184936523
resnet50_geirhos_tl,targeted,32,320,3.7938132592942564,1.5244578748774167,3.7321597933769226,0.9095451831817628,9.3708815574646
resnet50_geirhos_tl,targeted,64,320,4.767429216892924,1.8781180019610244,4.5627323389053345,0.9653449058532716,9.869479298591614
resnet50_tl_20250829,random,8,320,0.7406724214553833,0.5135226393384572,0.6569061279296875,-0.2289276123046875,2.7294921875
resnet50_tl_20250829,random,16,320,2.6881279230117796,1.6963304134017498,2.6451873779296875,-0.2754974365234375,6.085113525390625
resnet50_tl_20250829,random,32,320,11.171483469009399,7.282421536855008,11.493949890136719,0.2150115966796875,30.48799133300781
resnet50_tl_20250829,random,64,320,38.30009409189224,23.324760454926302,39.29143524169922,0.5351104736328125,95.394775390625
resnet50_tl_20250829,targeted,8,320,3.5767465591430665,1.6504824357042065,3.586151123046875,0.7445526123046875,9.697853088378906
resnet50_tl_20250829,targeted,16,320,7.504806017875671,3.485838666459561,7.4765167236328125,1.6175689697265625,15.748580932617188
resnet50_tl_20250829,targeted,32,320,22.618752884864808,10.154116242937695,22.383270263671875,4.24310302734375,44.01305389404297
resnet50_tl_20250829,targeted,64,320,51.97472568750381,23.21052729356087,54.11814880371094,10.89435577392578,94.0837287902832
