model_type,placement_type,num_occluders,occluder_size,n,mean,sd,skew,kurtosis,shapiro_W,shapiro_p,normal_at_0p05
resnet50_geirhos_tl,random,1,16,40,0.10733072757720948,0.1609837974018186,1.9374874255858052,4.598235663322994,0.8224377848555979,2.0600688539497796e-05,False
resnet50_geirhos_tl,random,1,32,40,0.2431897461414337,0.3896089330553645,1.2163348450640425,1.9615053618266014,0.9131058633363273,0.0047056093395000395,False
resnet50_geirhos_tl,random,1,64,40,1.2162205278873444,1.124495468236281,0.204801715466344,-0.5925764009949228,0.9839892371434272,0.8321662354036826,True
resnet50_geirhos_tl,random,1,8,40,-0.020866721868515018,0.10002098689099433,-0.5172825925151011,0.038236466675633185,0.9679130784549983,0.3084614415526946,True
resnet50_geirhos_tl,random,2,16,40,-0.04370855093002318,0.5339902947497197,0.007867317330515404,-0.3505388962071616,0.990638986710921,0.9817909191215598,True
resnet50_geirhos_tl,random,2,32,40,0.200116628408432,0.4384651160704202,1.24495027142987,2.2652845652034355,0.9075306251853605,0.0031897309408698035,False
resnet50_geirhos_tl,random,2,64,40,2.1029968827962877,1.6727383716881195,-0.18470952749174643,-0.18849454110361163,0.9948177476938564,0.9995759647617568,True
resnet50_geirhos_tl,random,2,8,40,-0.07943840622901917,0.3314200098539284,0.19798481499725132,1.4090746492409227,0.9600537659801831,0.16820864031921268,True
resnet50_geirhos_tl,random,3,16,40,0.2608787477016449,0.5062071606779973,-0.37708954749435375,2.1506614170278366,0.9493156429796505,0.071829714565044,True
resnet50_geirhos_tl,random,3,32,40,0.6604126870632172,0.9706422443158464,0.7022987436854253,0.43784849961835937,0.949990269844841,0.07577191759735512,True
resnet50_geirhos_tl,random,3,64,40,2.304064358770847,1.4773699546424173,0.23366879291495718,-0.27550875461321356,0.9861824458711158,0.8984535737793891,True
resnet50_geirhos_tl,random,3,8,40,0.04512396454811095,0.3054281897591297,0.4936326683845121,1.1939462378424786,0.951349549494295,0.08439399149546659,True
resnet50_geirhos_tl,random,4,16,40,0.1206491768360138,0.3403033980675059,0.1483349741932033,-0.49638886309883734,0.979517454752036,0.6716281181304125,True
resnet50_geirhos_tl,random,4,32,40,0.9120576977729797,1.1536464857724136,0.005717963148169315,-0.7183726758858411,0.9774279484041184,0.5948308795801036,True
resnet50_geirhos_tl,random,4,64,40,4.017504363227635,1.7958849627487503,-0.12678030878660684,-0.4047450240101309,0.969706629257521,0.3522808801328454,True
resnet50_geirhos_tl,random,4,8,40,-0.13841791152954103,0.407165225871659,-0.13918774210313573,1.5231769870444962,0.9580022117065804,0.14306183441845216,True
resnet50_geirhos_tl,random,5,16,40,0.06223666071891785,0.5756285167304769,-0.12718781125402248,0.12602723618390854,0.9850846870436231,0.8669111650452312,True
