placement_type,n,mean,sd,median,min,max
random,2560,7.175051440058451,15.020799975528561,1.274627685546875,-1.9858455657958984,95.394775390625
targeted,2560,12.1950284872044,18.702960504673513,4.3231964111328125,-0.1056816577911377,94.0837287902832
