model_type,placement_type,n,mean,sd,median,min,max
resnet50_geirhos_tl,random,1280,1.1250084037747001,1.821505466569574,0.3532423973083496,-1.9858455657958984,9.27384114265442
resnet50_geirhos_tl,targeted,1280,2.971299187061959,1.9369313360352385,2.624755620956421,-0.1056816577911377,9.869479298591614
resnet50_tl_20250829,random,1280,13.225094476342202,19.36089125356116,4.0432281494140625,-0.2754974365234375,95.394775390625
resnet50_tl_20250829,targeted,1280,21.41875778734684,22.931111057495684,11.175704956054688,0.7445526123046875,94.0837287902832
