effect_name,level_1,level_2,n_pairs,mean_diff,sd_diff,se_diff,t_value,p_value,cohens_dz,model_type,occluder_size,num_occluders,p_value_holm,reject_holm
placement_within_model,random,targeted,40,-0.9502362966537475,0.45052818963925373,0.07123476146861575,-13.339502752071372,4.087045793652684e-16,-2.1091605775314957,resnet50_geirhos_tl,16,1,8.582796166670636e-15,True
placement_within_model,random,targeted,40,-1.6603930801153184,0.6959484838327108,0.11003911715261179,-15.089116698496783,7.162426368037688e-18,-2.3857988323665014,resnet50_geirhos_tl,16,2,1.790606592009422e-16,True
placement_within_model,random,targeted,40,-1.6671259578317403,0.6931602958175462,0.10959826591897658,-15.211243935777297,5.4685837351397905e-18,-2.405108844074014,resnet50_geirhos_tl,16,3,1.4765176084877435e-16,True
placement_within_model,random,targeted,40,-2.0748331798240542,0.8343580499138039,0.13192359109120377,-15.72753714981609,1.777727373477186e-18,-2.486741968916584,resnet50_geirhos_tl,16,4,5.15540938308384e-17,True
placement_within_model,random,targeted,40,-2.3816752169281243,0.8881035782858067,0.1404215052764403,-16.960900769717913,1.3501431630723197e-19,-2.681753880020582,resnet50_geirhos_tl,16,5,4.320458121831423e-18,True
placement_within_model,random,targeted,40,-2.363898804783821,0.8774846530940196,0.1387425057809909,-17.03802876758839,1.1546469873205048e-19,-2.6939488872525468,resnet50_geirhos_tl,16,6,3.810335058157666e-18,True
placement_within_model,random,targeted,40,-2.4308237209916115,0.9175701765083768,0.14508058354045983,-16.754989962621067,2.055433822185075e-19,-2.6491965227571015,resnet50_geirhos_tl,16,7,6.166301466555225e-18,True
placement_within_model,random,targeted,40,-2.621825347840786,1.1321398102331923,0.1790070215043846,-14.646494454836601,1.9298276137577525e-17,-2.3158141107154915,resnet50_geirhos_tl,16,8,4.631586273018606e-16,True
placement_within_model,random,targeted,40,-1.5337152421474456,0.684346968550574,0.10820475652257162,-14.174194290872148,5.68865291361808e-17,-2.241136897845559,resnet50_geirhos_tl,32,1,1.3083901701321584e-15,True
placement_within_model,random,targeted,40,-2.633878557384014,0.9329865092400081,0.14751811977040785,-17.85461041317021,2.277600394834435e-20,-2.8230617820288937,resnet50_geirhos_tl,32,2,8.42712146088741e-19,True
placement_within_model,random,targeted,40,-2.6900883458554743,1.2786121682606617,0.20216633478550716,-13.306312095481095,4.427795161597404e-16,-2.103912673938408,resnet50_geirhos_tl,32,3,8.855590323194808e-15,True
placement_within_model,random,targeted,40,-2.9995712518692015,1.4798163439828378,0.23397950828644867,-12.81980321198464,1.453752419256899e-15,-2.026988865250693,resnet50_geirhos_tl,32,4,2.471379112736728e-14,True
placement_within_model,random,targeted,40,-3.1813163056969644,1.3243389524342801,0.2093963741886859,-15.192795567846359,5.695518761049219e-18,-2.4021919009852852,resnet50_geirhos_tl,32,5,1.480834877872797e-16,True
placement_within_model,random,targeted,40,-3.295145782828331,1.5733378743487032,0.24876656059748542,-13.245935365726316,5.123850561092091e-16,-2.09436627475353,resnet50_geirhos_tl,32,6,9.735316066074973e-15,True
placement_within_model,random,targeted,40,-3.030524694547057,1.6355289523117302,0.25859983342269893,-11.718973885004246,2.3830469051242286e-14,-1.8529324658322783,resnet50_geirhos_tl,32,7,3.33626566717392e-13,True
placement_within_model,random,targeted,40,-3.0342873938381674,1.7364469120225348,0.2745563638978614,-11.05160102924062,1.399203964634194e-13,-1.7474115521930738,resnet50_geirhos_tl,32,8,1.679044757561033e-12,True
placement_within_model,random,targeted,40,-1.7308227866888046,0.9753110060576494,0.1542102103086226,-11.22378851066275,8.813648349321076e-14,-1.7746367834861672,resnet50_geirhos_tl,64,1,1.1457742854117399e-12,True
placement_within_model,random,targeted,40,-2.145741888601333,1.8855849346442919,0.29813715575878486,-7.197163611292373,1.1508334879802126e-08,-1.1379714852283325,resnet50_geirhos_tl,64,2,8.055834415861488e-08,True
placement_within_model,random,targeted,40,-2.575611895415932,1.4916968015242345,0.23585797356023555,-10.920181567481112,1.99619604123859e-13,-1.7266323107914017,resnet50_geirhos_tl,64,3,1.99619604123859e-12,True
placement_within_model,random,targeted,40,-1.0073128351010383,1.6039569856837728,0.2536078671849404,-3.9719305488518932,0.0002978050388916404,-0.6280173621187336,resnet50_geirhos_tl,64,4,0.0008934151166749212,True
placement_within_model,random,targeted,40,-1.655483258329332,1.6475139957646028,0.26049483518105726,-6.355148105637819,1.6642303602045752e-07,-1.0048371440759936,resnet50_geirhos_tl,64,5,9.985382161227452e-07,True
placement_within_model,random,targeted,40,-0.8618858779780567,0.9357557890824985,0.14795598135944094,-5.825285805000411,9.056215843698788e-07,-0.9210585582624388,resnet50_geirhos_tl,64,6,4.528107921849394e-06,True
placement_within_model,random,targeted,40,-0.4802451543509959,0.9930254899359381,0.15701111614010882,-3.058669769103796,0.004006655039450969,-0.48361815403346536,resnet50_geirhos_tl,64,7,0.008013310078901938,True
placement_within_model,random,targeted,40,-0.9569530323147774,1.3321511222420126,0.2106315866917076,-4.543255108814369,5.229404559156899e-05,-0.718351706752477,resnet50_geirhos_tl,64,8,0.00020917618236627596,True
