contrast_family,placement_type,num_occluders,occluder_size,level_1,level_2,estimate_diff,std_error,z_value,p_value,p_value_holm,reject_holm
model_within_placement,targeted,3,8,resnet50_geirhos_tl,resnet50_tl_20250829,-1.6561148327379391,0.23999660568256997,-6.900576064514801,5.179190409876355e-12,8.286704655802168e-11,True
model_within_placement,targeted,3,16,resnet50_geirhos_tl,resnet50_tl_20250829,-3.5041434125176467,0.23999660568257555,-14.600804051171869,0.0,0.0,True
model_within_placement,targeted,3,32,resnet50_geirhos_tl,resnet50_tl_20250829,-13.048301483570976,0.23999660568257503,-54.36869178403696,0.0,0.0,True
model_within_placement,targeted,3,64,resnet50_geirhos_tl,resnet50_tl_20250829,-32.7574480096974,0.23999660568257491,-136.49129710202303,0.0,0.0,True
model_within_placement,targeted,4,8,resnet50_geirhos_tl,resnet50_tl_20250829,-2.1782155850460234,0.20552081453885643,-10.598515726659905,0.0,0.0,True
model_within_placement,targeted,4,16,resnet50_geirhos_tl,resnet50_tl_20250829,-4.7136027000112675,0.20552081453885818,-22.934916400499468,0.0,0.0,True
model_within_placement,targeted,4,32,resnet50_geirhos_tl,resnet50_tl_20250829,-16.89939357823735,0.20552081453885784,-82.22716329806187,0.0,0.0,True
model_within_placement,targeted,4,64,resnet50_geirhos_tl,resnet50_tl_20250829,-42.39068031697303,0.20552081453885798,-206.25979131159093,0.0,0.0,True
model_within_placement,targeted,5,8,resnet50_geirhos_tl,resnet50_tl_20250829,-2.7003163373541073,0.20552081453885768,-13.138894682823283,0.0,0.0,True
model_within_placement,targeted,5,16,resnet50_geirhos_tl,resnet50_tl_20250829,-5.923061987504888,0.2055208145388586,-28.819766994379016,0.0,0.0,True
model_within_placement,targeted,5,32,resnet50_geirhos_tl,resnet50_tl_20250829,-20.750485672903725,0.20552081453885823,-100.9653728721496,0.0,0.0,True
model_within_placement,targeted,5,64,resnet50_geirhos_tl,resnet50_tl_20250829,-52.02391262424865,0.20552081453885848,-253.1320866014392,0.0,0.0,True
model_within_placement,targeted,6,8,resnet50_geirhos_tl,resnet50_tl_20250829,-3.2224170896621915,0.23999660568257347,-13.426927770487948,0.0,0.0,True
model_within_placement,targeted,6,16,resnet50_geirhos_tl,resnet50_tl_20250829,-7.132521274998508,0.23999660568257586,-29.719258964987688,0.0,0.0,True
model_within_placement,targeted,6,32,resnet50_geirhos_tl,resnet50_tl_20250829,-24.6015777675701,0.23999660568257497,-102.5080238014229,0.0,0.0,True
model_within_placement,targeted,6,64,resnet50_geirhos_tl,resnet50_tl_20250829,-61.657144931524286,0.2399966056825755,-256.9084040008187,0.0,0.0,True
model_within_placement,targeted,7,8,resnet50_geirhos_tl,resnet50_tl_20250829,-3.744517841970276,0.2971826068262377,-12.600057190290718,0.0,0.0,True
model_within_placement,targeted,7,16,resnet50_geirhos_tl,resnet50_tl_20250829,-8.341980562492129,0.297182606826243,-28.070218010334386,0.0,0.0,True
model_within_placement,targeted,7,32,resnet50_geirhos_tl,resnet50_tl_20250829,-28.452669862236476,0.2971826068262422,-95.74136981331577,0.0,0.0,True
model_within_placement,targeted,7,64,resnet50_geirhos_tl,resnet50_tl_20250829,-71.29037723879992,0.29718260682624187,-239.88744832729162,0.0,0.0,True
model_within_placement,targeted,8,8,resnet50_geirhos_tl,resnet50_tl_20250829,-4.26661859427836,0.3666008706909468,-11.638320951712142,0.0,0.0,True
model_within_placement,targeted,8,16,resnet50_geirhos_tl,resnet50_tl_20250829,-9.55143984998575,0.36660087069095537,-26.054056641992037,0.0,0.0,True
model_within_placement,targeted,8,32,resnet50_geirhos_tl,resnet50_tl_20250829,-32.303761956902854,0.3666008706909549,-88.11698099903033,0.0,0.0,True
model_within_placement,targeted,8,64,resnet50_geirhos_tl,resnet50_tl_20250829,-80.92360954607554,0.36660087069095504,-220.74036374641958,0.0,0.0,True
