effect_name,level_1,level_2,n_pairs,mean_diff,sd_diff,se_diff,t_value,p_value,cohens_dz,placement_type,occluder_size,num_occluders,p_value_holm,reject_holm
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.31789777278900144,0.2892127361875877,0.045728548734108976,-6.951844779449148,2.495579384000385e-08,-1.0991831721505108,random,16,1,3.285646068889094e-08,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.7424662947654724,0.6191376602218156,0.0978942595744184,-7.584370094765931,3.4244210248233526e-09,-1.199194205856372,random,16,2,1.369768409929341e-08,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-2.0558473646640776,1.026386477842612,0.16228595147902994,-12.668055034509425,2.1186677592564155e-15,-2.002995371670636,random,16,3,2.966134862958982e-14,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-2.3384113013744354,0.6551642631807034,0.10359056565985075,-22.573593323670288,5.3655034009092695e-24,-3.569198493858431,random,16,4,1.6096510202727808e-22,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-2.5879006683826447,1.0027892306262522,0.1585548990933417,-16.321795688313237,5.041260657910264e-19,-2.5807024939492758,random,16,5,9.074269184238474e-18,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-3.9725951194763183,1.4480468824820838,0.22895631536747799,-17.35088684101266,6.15613178772436e-20,-2.7434160920721915,random,16,6,1.1696650396676285e-18,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-4.1267536044120785,1.3091304008281723,0.20699169103931025,-19.936808012396774,4.671344294232752e-22,-3.1522861296334135,random,16,7,1.074409187673533e-20,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-4.022173470258712,1.0724151883342434,0.16956372962473215,-23.72071833499024,8.82433643623739e-25,-3.750574883694306,random,16,8,3.088517752683087e-23,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-1.2354881942272187,0.945702378089175,0.14952867516997542,-8.26255026216736,4.239740374307823e-10,-1.3064239055035116,random,32,1,2.5438442245846936e-09,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-4.264831644296646,1.1726131879611303,0.18540642441541536,-23.00260984884218,2.7068676878512856e-24,-3.637031962528138,random,32,2,8.661976601124114e-23,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-4.92420397400856,2.6688645814850505,0.4219845422022403,-11.669157235737291,2.7143171034822127e-14,-1.8450557619782115,random,32,3,3.2571805241786553e-13,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-10.709654796123505,2.721495870183434,0.43030627962607887,-24.888446446632898,1.516978157714797e-25,-3.935208909724215,random,32,4,5.612819183544749e-24,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-10.018902072310448,3.345119116815084,0.5289097726853259,-18.942554268648728,2.8625170455740247e-21,-2.9950808095137518,random,32,5,6.297537500262854e-20,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-15.03509578704834,3.600501610822091,0.5692892904651481,-26.410290934445023,1.7009802981255603e-26,-4.175833651027148,random,32,6,6.463725132877129e-25,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-14.40826136469841,3.7037710643636816,0.5856176247607665,-24.603530965422017,2.315261464380056e-25,-3.89015981666075,random,32,7,8.334941271768201e-24,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-20.82345141917467,5.729383794018292,0.9058951189177398,-22.986602956920834,2.7763054544767827e-24,-3.6345010506915583,random,32,8,8.661976601124114e-23,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-3.593057769536972,3.1188535909702733,0.49313405180306114,-7.286168449328463,8.700183118976748e-09,-1.152044385776754,random,64,1,2.6100549356930243e-08,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-13.70255312025547,3.732411626529983,0.5901460952564245,-23.21891685871711,1.9251480499538697e-24,-3.6712331037814043,random,64,2,6.545503369843157e-23,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-21.42995129674673,4.74896526653922,0.7508773385646274,-28.53988287582642,9.556924037194847e-28,-4.512551702102399,random,64,3,3.822769614877939e-26,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-30.992433113884182,6.464130103933845,1.022068711004595,-30.32323833044611,9.929341510129476e-29,-4.794524957816561,random,64,4,4.269616849355675e-27,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-39.068433344364166,6.27650995739388,0.9924033611045525,-39.3674939803516,5.172098617542639e-33,-6.22454733754395,random,64,5,2.534328322595893e-31,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-46.30449215006083,8.354334622790615,1.3209362871610992,-35.05429641090147,4.2297905975877776e-31,-5.542570921655715,random,64,6,1.9880015808662556e-29,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-47.93792959973216,7.880751900462917,1.246056284008169,-38.4717209125827,1.2415600310135665e-32,-6.082913179504645,random,64,7,5.959488148865119e-31,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-76.64652533419431,7.481810286707335,1.182978076363629,-64.79116296880075,2.5343342684542977e-41,-10.244382361628368,random,64,8,1.4952572183880355e-39,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.15866827368736267,0.14165437047940127,0.02239752256161129,-7.084188586076727,1.642823034444547e-08,-1.1201085653085125,random,8,1,3.285646068889094e-08,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.5864877760410309,0.3647325118214225,0.05766927370349918,-10.169848489100092,1.5847940437734544e-12,-1.6079942342189182,random,8,2,1.5847940437734544e-11,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.5165562570095062,0.36368780240790555,0.057504090641512566,-8.982948017207683,4.871360656720494e-11,-1.4203287918634848,random,8,3,3.897088525376395e-10,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.6779135704040528,0.5430304062868013,0.08586064612964552,-7.89550977033687,1.305686999699184e-09,-1.2483897081188726,random,8,4,6.52843499849592e-09,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.8013819992542267,0.508674538784616,0.08042850651475224,-9.963905013047043,2.8345961491713333e-12,-1.5754317115399195,random,8,5,2.5511365342542e-11,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.6059447169303894,0.43419784044716403,0.06865270654697106,-8.82623202212446,7.759034798475802e-11,-1.3955498173513479,random,8,6,5.431324358933061e-10,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-0.910668569803238,0.44945272632840927,0.07106471578850504,-12.814637470914105,1.4724438564731345e-15,-2.0261720898714146,random,8,7,2.2086657847097018e-14,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-1.6858225822448731,0.6072600222760494,0.09601624011784515,-17.557681702343118,4.0818430728831556e-20,-2.776113230583338,random,8,8,8.163686145766311e-19,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-1.013157844543457,0.5134020267297266,0.08117598799062917,-12.481004169119746,3.383521591149048e-15,-1.9734200330237888,targeted,16,1,4.3985780684937625e-14,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-2.2016597777605056,0.9542453344973176,0.1508794351800385,-14.592179345935062,2.182580633953779e-17,-2.307226137941044,targeted,16,2,3.4921290143260466e-16,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-3.536242425814271,0.9923345875321281,0.1569018748782626,-22.53792332665228,5.682441047854602e-24,-3.5635585721230147,targeted,16,3,1.6479079038778346e-22,True
