case_id,prefix,model_type,cluster_rank,target_k,selected_member_position,global_index,eligible_row,resp,n_shapes_in_cluster,base_grid,source_top10_jsonl,source_shapes_npz,source_occluder_config,output_png,status,error
s_fish_4,shape,resnet50_geirhos_tl,1.0,70.0,0,6618.0,6618.0,0.9999999999915872,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/s_fish_4/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_4/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_4/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_s_fish_4_representative.png,ok,
s_fish_500,shape,resnet50_geirhos_tl,1.0,34.0,0,3181.0,3181.0,0.999999999975131,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/s_fish_500/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_500/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_500/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_s_fish_500_representative.png,ok,
s_fish_600,shape,resnet50_geirhos_tl,1.0,11.0,0,5925.0,5925.0,0.9999999999999859,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/s_fish_600/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_600/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_600/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_s_fish_600_representative.png,ok,
s_fish_700,shape,resnet50_geirhos_tl,1.0,4.0,0,4654.0,4654.0,0.1405708001623372,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/s_fish_700/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_700/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_700/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_s_fish_700_representative.png,ok,
s_fish_800,shape,resnet50_geirhos_tl,1.0,19.0,0,4962.0,4962.0,1.0,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/s_fish_800/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_800/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_800/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_s_fish_800_representative.png,ok,
s_fish_900,shape,resnet50_geirhos_tl,1.0,40.0,0,2444.0,2444.0,1.0,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/s_fish_900/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_900/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_fish_900/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_s_fish_900_representative.png,ok,
s_oyster_350,shape,resnet50_geirhos_tl,1.0,51.0,0,4460.0,4460.0,0.746669660634221,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/s_oyster_350/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_oyster_350/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_oyster_350/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_s_oyster_350_representative.png,ok,
s_oyster_4,shape,resnet50_geirhos_tl,1.0,11.0,0,6267.0,6267.0,0.9999999999914736,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_32/s_oyster_4/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_oyster_4/resnet50_geirhos_tl/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/s_oyster_4/resnet50_geirhos_tl/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/shape_s_oyster_4_representative.png,ok,
ns_cow_202,texture,resnet50_tl_20250829,1.0,18.0,0,3428.0,3428.0,0.5550945981988832,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_cow_202/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_202/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_cow_202_representative.png,ok,
ns_cow_205,texture,resnet50_tl_20250829,1.0,0.0,0,2352.0,2352.0,0.01997621428679122,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_cow_205/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_205/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_cow_205_representative.png,ok,
