case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_target_logit,post_occlusion_target_logit,target_logit_drop
s_bird_117,resnet50_tl_20250829,16,8,0,0,8.0,8.0,146.42076110839844,146.5819091796875,-0.1611480712890625
s_bird_117,resnet50_tl_20250829,16,8,0,8,8.0,16.0,146.42076110839844,146.6896209716797,-0.26885986328125
s_bird_117,resnet50_tl_20250829,16,8,0,16,8.0,24.0,146.42076110839844,146.38180541992188,0.0389556884765625
s_bird_117,resnet50_tl_20250829,16,8,0,24,8.0,32.0,146.42076110839844,146.1222686767578,0.298492431640625
s_bird_117,resnet50_tl_20250829,16,8,0,32,8.0,40.0,146.42076110839844,145.63084411621094,0.7899169921875
s_bird_117,resnet50_tl_20250829,16,8,0,40,8.0,48.0,146.42076110839844,145.66619873046875,0.7545623779296875
s_bird_117,resnet50_tl_20250829,16,8,0,48,8.0,56.0,146.42076110839844,145.34263610839844,1.078125
s_bird_117,resnet50_tl_20250829,16,8,0,56,8.0,64.0,146.42076110839844,145.44561767578125,0.9751434326171875
s_bird_117,resnet50_tl_20250829,16,8,0,64,8.0,72.0,146.42076110839844,145.18980407714844,1.23095703125
s_bird_117,resnet50_tl_20250829,16,8,0,72,8.0,80.0,146.42076110839844,145.46864318847656,0.952117919921875
s_bird_117,resnet50_tl_20250829,16,8,0,80,8.0,88.0,146.42076110839844,145.29969787597656,1.121063232421875
s_bird_117,resnet50_tl_20250829,16,8,0,88,8.0,96.0,146.42076110839844,145.72064208984375,0.7001190185546875
s_bird_117,resnet50_tl_20250829,16,8,0,96,8.0,104.0,146.42076110839844,145.5323028564453,0.888458251953125
s_bird_117,resnet50_tl_20250829,16,8,0,104,8.0,112.0,146.42076110839844,145.66400146484375,0.7567596435546875
s_bird_117,resnet50_tl_20250829,16,8,0,112,8.0,120.0,146.42076110839844,145.3685302734375,1.0522308349609375
s_bird_117,resnet50_tl_20250829,16,8,0,120,8.0,128.0,146.42076110839844,145.6172332763672,0.80352783203125
s_bird_117,resnet50_tl_20250829,16,8,0,128,8.0,136.0,146.42076110839844,145.45904541015625,0.9617156982421875
s_bird_117,resnet50_tl_20250829,16,8,0,136,8.0,144.0,146.42076110839844,145.6039581298828,0.816802978515625
s_bird_117,resnet50_tl_20250829,16,8,0,144,8.0,152.0,146.42076110839844,145.27386474609375,1.1468963623046875
s_bird_117,resnet50_tl_20250829,16,8,0,152,8.0,160.0,146.42076110839844,145.72377014160156,0.696990966796875
s_bird_117,resnet50_tl_20250829,16,8,0,160,8.0,168.0,146.42076110839844,145.87327575683594,0.5474853515625
s_bird_117,resnet50_tl_20250829,16,8,0,168,8.0,176.0,146.42076110839844,146.3204803466797,0.10028076171875
s_bird_117,resnet50_tl_20250829,16,8,0,176,8.0,184.0,146.42076110839844,146.2026824951172,0.21807861328125
s_bird_117,resnet50_tl_20250829,16,8,0,184,8.0,192.0,146.42076110839844,146.15618896484375,0.2645721435546875
s_bird_117,resnet50_tl_20250829,16,8,0,192,8.0,200.0,146.42076110839844,145.9417266845703,0.479034423828125
s_bird_117,resnet50_tl_20250829,16,8,0,200,8.0,208.0,146.42076110839844,146.09320068359375,0.3275604248046875
s_bird_117,resnet50_tl_20250829,16,8,0,208,8.0,216.0,146.42076110839844,145.84701538085938,0.5737457275390625
s_bird_117,resnet50_tl_20250829,16,8,8,0,16.0,8.0,146.42076110839844,145.79905700683594,0.6217041015625
s_bird_117,resnet50_tl_20250829,16,8,8,8,16.0,16.0,146.42076110839844,145.90415954589844,0.5166015625
s_bird_117,resnet50_tl_20250829,16,8,8,16,16.0,24.0,146.42076110839844,145.6839599609375,0.7368011474609375
s_bird_117,resnet50_tl_20250829,16,8,8,24,16.0,32.0,146.42076110839844,145.62832641601562,0.7924346923828125
s_bird_117,resnet50_tl_20250829,16,8,8,32,16.0,40.0,146.42076110839844,145.40895080566406,1.011810302734375
s_bird_117,resnet50_tl_20250829,16,8,8,40,16.0,48.0,146.42076110839844,145.04090881347656,1.379852294921875
s_bird_117,resnet50_tl_20250829,16,8,8,48,16.0,56.0,146.42076110839844,144.8951873779297,1.52557373046875
s_bird_117,resnet50_tl_20250829,16,8,8,56,16.0,64.0,146.42076110839844,144.59918212890625,1.8215789794921875
s_bird_117,resnet50_tl_20250829,16,8,8,64,16.0,72.0,146.42076110839844,144.61337280273438,1.8073883056640625
s_bird_117,resnet50_tl_20250829,16,8,8,72,16.0,80.0,146.42076110839844,144.24246215820312,2.1782989501953125
s_bird_117,resnet50_tl_20250829,16,8,8,80,16.0,88.0,146.42076110839844,144.4333953857422,1.98736572265625
s_bird_117,resnet50_tl_20250829,16,8,8,88,16.0,96.0,146.42076110839844,144.42079162597656,1.999969482421875
s_bird_117,resnet50_tl_20250829,16,8,8,96,16.0,104.0,146.42076110839844,144.8409423828125,1.5798187255859375
s_bird_117,resnet50_tl_20250829,16,8,8,104,16.0,112.0,146.42076110839844,144.72775268554688,1.6930084228515625
s_bird_117,resnet50_tl_20250829,16,8,8,112,16.0,120.0,146.42076110839844,144.88882446289062,1.5319366455078125
s_bird_117,resnet50_tl_20250829,16,8,8,120,16.0,128.0,146.42076110839844,144.92494201660156,1.495819091796875
s_bird_117,resnet50_tl_20250829,16,8,8,128,16.0,136.0,146.42076110839844,145.09759521484375,1.3231658935546875
s_bird_117,resnet50_tl_20250829,16,8,8,136,16.0,144.0,146.42076110839844,145.2511749267578,1.169586181640625
s_bird_117,resnet50_tl_20250829,16,8,8,144,16.0,152.0,146.42076110839844,145.32733154296875,1.0934295654296875
s_bird_117,resnet50_tl_20250829,16,8,8,152,16.0,160.0,146.42076110839844,145.97459411621094,0.4461669921875
s_bird_117,resnet50_tl_20250829,16,8,8,160,16.0,168.0,146.42076110839844,146.2052001953125,0.2155609130859375
s_bird_117,resnet50_tl_20250829,16,8,8,168,16.0,176.0,146.42076110839844,146.25013732910156,0.170623779296875
s_bird_117,resnet50_tl_20250829,16,8,8,176,16.0,184.0,146.42076110839844,146.32627868652344,0.094482421875
s_bird_117,resnet50_tl_20250829,16,8,8,184,16.0,192.0,146.42076110839844,145.7895050048828,0.631256103515625
s_bird_117,resnet50_tl_20250829,16,8,8,192,16.0,200.0,146.42076110839844,145.77206420898438,0.6486968994140625
s_bird_117,resnet50_tl_20250829,16,8,8,200,16.0,208.0,146.42076110839844,145.8451385498047,0.57562255859375
s_bird_117,resnet50_tl_20250829,16,8,8,208,16.0,216.0,146.42076110839844,145.67494201660156,0.745819091796875
s_bird_117,resnet50_tl_20250829,16,8,16,0,24.0,8.0,146.42076110839844,145.4878692626953,0.932891845703125
s_bird_117,resnet50_tl_20250829,16,8,16,8,24.0,16.0,146.42076110839844,145.9521942138672,0.46856689453125
s_bird_117,resnet50_tl_20250829,16,8,16,16,24.0,24.0,146.42076110839844,145.3020782470703,1.118682861328125
s_bird_117,resnet50_tl_20250829,16,8,16,24,24.0,32.0,146.42076110839844,145.36917114257812,1.0515899658203125
