case_id,model_type,placement_type,num_occluders,occluder_size,target_class,target_class_name,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,is_correct_baseline,is_correct_post_occlusion,prediction_changed
ns_cow_202,resnet50_geirhos_tl,random,3,32,37,pig,7.092348575592041,6.481587886810303,0.6107606887817383,0,0,0
ns_cow_202,resnet50_geirhos_tl,random,4,32,37,pig,7.092348575592041,4.747854709625244,2.344493865966797,0,0,0
ns_cow_202,resnet50_geirhos_tl,random,5,32,37,pig,7.092348575592041,7.090228080749512,0.002120494842529297,0,0,0
ns_cow_202,resnet50_geirhos_tl,random,6,32,37,pig,7.092348575592041,5.072601318359375,2.019747257232666,0,0,0
ns_cow_202,resnet50_geirhos_tl,random,7,32,37,pig,7.092348575592041,6.060305595397949,1.0320429801940918,0,0,0
ns_cow_202,resnet50_geirhos_tl,random,8,32,37,pig,7.092348575592041,5.467606067657471,1.6247425079345703,0,0,0
ns_cow_202,resnet50_geirhos_tl,targeted,1,64,37,pig,7.092348575592041,3.745814561843872,3.346534013748169,0,0,1
ns_cow_202,resnet50_geirhos_tl,targeted,2,64,37,pig,7.092348575592041,2.1384072303771973,4.953941345214844,0,0,1
ns_cow_202,resnet50_geirhos_tl,targeted,3,64,37,pig,7.092348575592041,0.013322096318006516,7.0790264792740345,0,0,1
ns_cow_202,resnet50_geirhos_tl,targeted,4,64,37,pig,7.092348575592041,0.809837281703949,6.282511293888092,0,0,1
ns_cow_202,resnet50_geirhos_tl,targeted,5,64,37,pig,7.092348575592041,0.9034228920936584,6.188925683498383,0,0,1
ns_cow_202,resnet50_geirhos_tl,targeted,6,64,37,pig,7.092348575592041,1.6379272937774658,5.454421281814575,0,0,1
ns_cow_202,resnet50_geirhos_tl,targeted,7,64,37,pig,7.092348575592041,1.610498070716858,5.481850504875183,0,0,1
ns_cow_202,resnet50_geirhos_tl,targeted,8,64,37,pig,7.092348575592041,1.3500750064849854,5.742273569107056,0,0,1
ns_cow_202,resnet50_geirhos_tl,random,1,64,37,pig,7.092348575592041,4.631308078765869,2.461040496826172,0,0,0
