case_id,model_type,placement_type,num_occluders,occluder_size,occluder_id,x0,y0,width,height,size
ns_cow_202,resnet50_geirhos_tl,random,8,8,5,92,72,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,6,36,140,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,7,96,44,8,8,8
ns_cow_202,resnet50_geirhos_tl,random,8,8,8,116,120,8,8,8
ns_cow_202,resnet50_geirhos_tl,targeted,1,16,1,192,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,2,16,1,192,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,2,16,2,72,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,3,16,1,192,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,3,16,2,72,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,3,16,3,40,32,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,4,16,1,192,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,4,16,2,72,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,4,16,3,40,32,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,4,16,4,88,104,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,5,16,1,192,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,5,16,2,72,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,5,16,3,40,32,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,5,16,4,88,104,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,5,16,5,144,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,6,16,1,192,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,6,16,2,72,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,6,16,3,40,32,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,6,16,4,88,104,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,6,16,5,144,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,6,16,6,104,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,7,16,1,192,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,7,16,2,72,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,7,16,3,40,32,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,7,16,4,88,104,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,7,16,5,144,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,7,16,6,104,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,7,16,7,88,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,8,16,1,192,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,8,16,2,72,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,8,16,3,40,32,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,8,16,4,88,104,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,8,16,5,144,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,8,16,6,104,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,8,16,7,88,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,8,16,8,192,112,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,1,16,1,144,208,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,2,16,1,168,72,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,2,16,2,96,88,16,16,16
