case_id,model_type,occluder_size,debiased_entropy,_cell_z
ns_cow_202,shape_biased,8,1.948985462280404,-3.1603344591702447
ns_dog_69,shape_biased,64,1.5431344222089685,-4.795107800356911
ns_elephant_100,texture_biased,32,1.9750820832890088,-4.234174345111662
ns_elephant_100,texture_biased,64,1.987654850224608,-3.2492915660975648
s_bird_117,texture_biased,8,1.3328283425721816,-5.627314566646073
s_fish_350,shape_biased,16,1.922432780137089,-3.503686039444985
s_fish_500,texture_biased,16,2.059875934750641,-3.6316916949945335
s_fish_900,shape_biased,32,1.6978035293265332,-4.953806030804712
s_fish_900,shape_biased,8,1.8338121533659224,-4.376438585226873
