assumption,summary,verdict,detail_file
normality_per_cell_shapiro,0/8 cells with p>0.05,violated,rm_anova_assumption_normality_per_cell.csv
normality_of_residuals,"shapiro_wilk stat=0.583, p=1.06e-26, skew=-4.44, kurt=28.12",violated,
homogeneity_of_variance_levene,"W=0.748, p=0.631 (k=8)",met,
sphericity_model_type,k=2 (sphericity not applicable),met_by_design,rm_anova_assumption_sphericity.csv
sphericity_occluder_size,"Mauchly W=0.782, chi2=9.02, df=5, p=0.108; GG eps=0.854, HF eps=0.921",met,rm_anova_assumption_sphericity.csv
no_extreme_outliers_abs_z_gt_3,9 / 312 obs (2.88%) across 7 cases,inspect,rm_anova_assumption_outliers.csv
