factor,k_levels,n_subjects,levels,mauchly_W,chi2,df,p_value,sphericity_at_0p05,gg_epsilon,hf_epsilon,lb_epsilon,note
model_type,2,39,"shape_biased,texture_biased",,,,,True,1.0,1.0,1.0,sphericity_trivial_k<=2
occluder_size,4,39,"16,32,64,8",0.7822260904393565,9.019398688423033,5.0,0.10829290665890756,True,0.8537471296783115,0.920728396527175,0.3333333333333333,ok
