case_id,model_type,occluder_size,stride,placement_type,num_occluders,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,baseline_pred_class,baseline_pred_class_name,post_occlusion_pred_class,post_occlusion_pred_class_name,baseline_confidence,post_occlusion_confidence
s_bird_17,shape_biased,8,1,targeted,1,5.135880470275879,4.410229682922363,0.7256507873535156,5,bird,18,dolphin,0.27608194947242737,0.28258830308914185
s_bird_17,shape_biased,8,1,targeted,2,5.135880470275879,3.714567184448242,1.4213132858276367,5,bird,18,dolphin,0.27608194947242737,0.34185144305229187
s_bird_17,shape_biased,8,1,targeted,3,5.135880470275879,3.3699755668640137,1.7659049034118652,5,bird,18,dolphin,0.27608194947242737,0.302287220954895
s_bird_17,shape_biased,8,1,targeted,4,5.135880470275879,2.900785446166992,2.2350950241088867,5,bird,18,dolphin,0.27608194947242737,0.32683926820755005
s_bird_17,shape_biased,8,1,targeted,5,5.135880470275879,2.9095356464385986,2.2263448238372803,5,bird,18,dolphin,0.27608194947242737,0.33584898710250854
s_bird_17,shape_biased,8,1,targeted,6,5.135880470275879,3.342456579208374,1.7934238910675049,5,bird,18,dolphin,0.27608194947242737,0.33045709133148193
s_bird_17,shape_biased,8,1,targeted,7,5.135880470275879,3.294527530670166,1.841352939605713,5,bird,18,dolphin,0.27608194947242737,0.3409799635410309
s_bird_17,shape_biased,8,1,targeted,8,5.135880470275879,3.3227667808532715,1.8131136894226074,5,bird,18,dolphin,0.27608194947242737,0.33896034955978394
s_bird_17,shape_biased,8,1,random,1,5.135880470275879,5.201064586639404,-0.06518411636352539,5,bird,5,bird,0.27608194947242737,0.27447542548179626
s_bird_17,shape_biased,8,1,random,2,5.135880470275879,5.1188554763793945,0.017024993896484375,5,bird,5,bird,0.27608194947242737,0.2707485854625702
s_bird_17,shape_biased,8,1,random,3,5.135880470275879,4.825197696685791,0.3106827735900879,5,bird,18,dolphin,0.27608194947242737,0.2599368393421173
s_bird_17,shape_biased,8,1,random,4,5.135880470275879,5.10342264175415,0.032457828521728516,5,bird,5,bird,0.27608194947242737,0.2556980550289154
s_bird_17,shape_biased,8,1,random,5,5.135880470275879,4.35155725479126,0.7843232154846191,5,bird,18,dolphin,0.27608194947242737,0.4136401116847992
s_bird_17,shape_biased,8,1,random,6,5.135880470275879,4.887944221496582,0.24793624877929688,5,bird,18,dolphin,0.27608194947242737,0.30652689933776855
s_bird_17,shape_biased,8,1,random,7,5.135880470275879,4.5775275230407715,0.5583529472351074,5,bird,18,dolphin,0.27608194947242737,0.41827592253685
s_bird_17,shape_biased,8,1,random,8,5.135880470275879,3.8335046768188477,1.3023757934570312,5,bird,18,dolphin,0.27608194947242737,0.37733373045921326
