case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_pred_class,baseline_pred_class_name,post_occlusion_pred_class,post_occlusion_pred_class_name,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,baseline_confidence,post_occlusion_confidence,prediction_changed,baseline_class_still_top1
s_bird_17,shape_biased,8,4,0,0,4.0,4.0,5,bird,18,dolphin,5.135880470275879,4.755110263824463,0.380770206451416,0.27608194947242737,0.24857951700687408,1,0
s_bird_17,shape_biased,8,4,0,4,4.0,8.0,5,bird,18,dolphin,5.135880470275879,4.778312683105469,0.35756778717041016,0.27608194947242737,0.25315210223197937,1,0
s_bird_17,shape_biased,8,4,0,8,4.0,12.0,5,bird,18,dolphin,5.135880470275879,4.765612602233887,0.3702678680419922,0.27608194947242737,0.2646823823451996,1,0
s_bird_17,shape_biased,8,4,0,12,4.0,16.0,5,bird,18,dolphin,5.135880470275879,4.793071746826172,0.34280872344970703,0.27608194947242737,0.2636324465274811,1,0
s_bird_17,shape_biased,8,4,0,16,4.0,20.0,5,bird,18,dolphin,5.135880470275879,4.750139236450195,0.3857412338256836,0.27608194947242737,0.2751181125640869,1,0
s_bird_17,shape_biased,8,4,0,20,4.0,24.0,5,bird,18,dolphin,5.135880470275879,4.744673728942871,0.3912067413330078,0.27608194947242737,0.27280351519584656,1,0
s_bird_17,shape_biased,8,4,0,24,4.0,28.0,5,bird,18,dolphin,5.135880470275879,4.716753959655762,0.4191265106201172,0.27608194947242737,0.29090917110443115,1,0
s_bird_17,shape_biased,8,4,0,28,4.0,32.0,5,bird,18,dolphin,5.135880470275879,4.799577713012695,0.3363027572631836,0.27608194947242737,0.27678704261779785,1,0
s_bird_17,shape_biased,8,4,0,32,4.0,36.0,5,bird,18,dolphin,5.135880470275879,4.76301908493042,0.372861385345459,0.27608194947242737,0.2884621024131775,1,0
s_bird_17,shape_biased,8,4,0,36,4.0,40.0,5,bird,18,dolphin,5.135880470275879,4.741891860961914,0.39398860931396484,0.27608194947242737,0.29172322154045105,1,0
s_bird_17,shape_biased,8,4,0,40,4.0,44.0,5,bird,18,dolphin,5.135880470275879,4.760358810424805,0.3755216598510742,0.27608194947242737,0.30220139026641846,1,0
s_bird_17,shape_biased,8,4,0,44,4.0,48.0,5,bird,18,dolphin,5.135880470275879,4.8404059410095215,0.2954745292663574,0.27608194947242737,0.28510937094688416,1,0
s_bird_17,shape_biased,8,4,0,48,4.0,52.0,5,bird,18,dolphin,5.135880470275879,4.838899612426758,0.2969808578491211,0.27608194947242737,0.2945424020290375,1,0
s_bird_17,shape_biased,8,4,0,52,4.0,56.0,5,bird,18,dolphin,5.135880470275879,4.883444309234619,0.25243616104125977,0.27608194947242737,0.2942560017108917,1,0
s_bird_17,shape_biased,8,4,0,56,4.0,60.0,5,bird,18,dolphin,5.135880470275879,4.892428398132324,0.2434520721435547,0.27608194947242737,0.30222687125205994,1,0
s_bird_17,shape_biased,8,4,0,60,4.0,64.0,5,bird,18,dolphin,5.135880470275879,4.970008373260498,0.16587209701538086,0.27608194947242737,0.28204119205474854,1,0
s_bird_17,shape_biased,8,4,0,64,4.0,68.0,5,bird,18,dolphin,5.135880470275879,4.931911945343018,0.20396852493286133,0.27608194947242737,0.2925542891025543,1,0
s_bird_17,shape_biased,8,4,0,68,4.0,72.0,5,bird,18,dolphin,5.135880470275879,4.927537441253662,0.2083430290222168,0.27608194947242737,0.2866315543651581,1,0
s_bird_17,shape_biased,8,4,0,72,4.0,76.0,5,bird,18,dolphin,5.135880470275879,4.961048126220703,0.17483234405517578,0.27608194947242737,0.2907519042491913,1,0
s_bird_17,shape_biased,8,4,0,76,4.0,80.0,5,bird,18,dolphin,5.135880470275879,4.963979244232178,0.17190122604370117,0.27608194947242737,0.27994921803474426,1,0
s_bird_17,shape_biased,8,4,0,80,4.0,84.0,5,bird,18,dolphin,5.135880470275879,4.918073654174805,0.21780681610107422,0.27608194947242737,0.282720685005188,1,0
s_bird_17,shape_biased,8,4,0,84,4.0,88.0,5,bird,18,dolphin,5.135880470275879,4.946061134338379,0.1898193359375,0.27608194947242737,0.26962515711784363,1,0
s_bird_17,shape_biased,8,4,0,88,4.0,92.0,5,bird,18,dolphin,5.135880470275879,4.969766616821289,0.16611385345458984,0.27608194947242737,0.26708468794822693,1,0
s_bird_17,shape_biased,8,4,0,92,4.0,96.0,5,bird,18,dolphin,5.135880470275879,4.922727108001709,0.21315336227416992,0.27608194947242737,0.2673000395298004,1,0
s_bird_17,shape_biased,8,4,0,96,4.0,100.0,5,bird,18,dolphin,5.135880470275879,4.925304889678955,0.21057558059692383,0.27608194947242737,0.25789687037467957,1,0
s_bird_17,shape_biased,8,4,0,100,4.0,104.0,5,bird,18,dolphin,5.135880470275879,4.958742618560791,0.1771378517150879,0.27608194947242737,0.2537376582622528,1,0
s_bird_17,shape_biased,8,4,0,104,4.0,108.0,5,bird,5,bird,5.135880470275879,5.030908584594727,0.10497188568115234,0.27608194947242737,0.25671499967575073,0,1
s_bird_17,shape_biased,8,4,0,108,4.0,112.0,5,bird,5,bird,5.135880470275879,5.04006814956665,0.09581232070922852,0.27608194947242737,0.26249000430107117,0,1
s_bird_17,shape_biased,8,4,0,112,4.0,116.0,5,bird,5,bird,5.135880470275879,5.108522891998291,0.02735757827758789,0.27608194947242737,0.2738041877746582,0,1
s_bird_17,shape_biased,8,4,0,116,4.0,120.0,5,bird,5,bird,5.135880470275879,5.05792236328125,0.0779581069946289,0.27608194947242737,0.26792728900909424,0,1
s_bird_17,shape_biased,8,4,0,120,4.0,124.0,5,bird,5,bird,5.135880470275879,5.028989791870117,0.10689067840576172,0.27608194947242737,0.26236671209335327,0,1
s_bird_17,shape_biased,8,4,0,124,4.0,128.0,5,bird,5,bird,5.135880470275879,4.958450794219971,0.1774296760559082,0.27608194947242737,0.25334882736206055,0,1
s_bird_17,shape_biased,8,4,0,128,4.0,132.0,5,bird,5,bird,5.135880470275879,4.938951015472412,0.1969294548034668,0.27608194947242737,0.2508719563484192,0,1
s_bird_17,shape_biased,8,4,0,132,4.0,136.0,5,bird,18,dolphin,5.135880470275879,4.905698776245117,0.23018169403076172,0.27608194947242737,0.24682915210723877,1,0
s_bird_17,shape_biased,8,4,0,136,4.0,140.0,5,bird,5,bird,5.135880470275879,4.940093994140625,0.1957864761352539,0.27608194947242737,0.24987435340881348,0,1
s_bird_17,shape_biased,8,4,0,140,4.0,144.0,5,bird,5,bird,5.135880470275879,4.948611736297607,0.18726873397827148,0.27608194947242737,0.24987617135047913,0,1
s_bird_17,shape_biased,8,4,0,144,4.0,148.0,5,bird,18,dolphin,5.135880470275879,4.917499542236328,0.21838092803955078,0.27608194947242737,0.26037096977233887,1,0
s_bird_17,shape_biased,8,4,0,148,4.0,152.0,5,bird,18,dolphin,5.135880470275879,4.943386077880859,0.19249439239501953,0.27608194947242737,0.25525277853012085,1,0
s_bird_17,shape_biased,8,4,0,152,4.0,156.0,5,bird,18,dolphin,5.135880470275879,4.9619317054748535,0.1739487648010254,0.27608194947242737,0.2619171440601349,1,0
