case_id,source_model,occluder_size,cluster_rank,target_k,n_shapes_listed_in_cluster,n_shapes_averaged,n_shapes_failed,baseGrid_case,jsonl_path,npz_path,plot_path,members_csv_path,status,error
s_bird_132,resnet50_geirhos_tl,16,1,1.0,25.0,7,18.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_132/s_bird_132_size16_top1cluster_mean_contour_k1.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_132/s_bird_132_size16_top1cluster_mean_contour_k1.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_132/s_bird_132_size16_top1cluster_mean_contour_k1.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_132/s_bird_132_size16_top1cluster_mean_contour_k1_members.csv,ok,
s_bird_136,resnet50_geirhos_tl,16,1,0.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_136/s_bird_136_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_136/s_bird_136_size16_top1cluster_mean_contour_k0.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_136/s_bird_136_size16_top1cluster_mean_contour_k0.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_136/s_bird_136_size16_top1cluster_mean_contour_k0_members.csv,ok,
s_bird_137,resnet50_geirhos_tl,16,1,0.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_137/s_bird_137_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_137/s_bird_137_size16_top1cluster_mean_contour_k0.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_137/s_bird_137_size16_top1cluster_mean_contour_k0.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_137/s_bird_137_size16_top1cluster_mean_contour_k0_members.csv,ok,
s_bird_212,resnet50_geirhos_tl,16,1,37.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_212/s_bird_212_size16_top1cluster_mean_contour_k37.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_212/s_bird_212_size16_top1cluster_mean_contour_k37.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_212/s_bird_212_size16_top1cluster_mean_contour_k37.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_212/s_bird_212_size16_top1cluster_mean_contour_k37_members.csv,ok,
s_bird_350,resnet50_geirhos_tl,16,1,10.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_350/s_bird_350_size16_top1cluster_mean_contour_k10.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_350/s_bird_350_size16_top1cluster_mean_contour_k10.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_350/s_bird_350_size16_top1cluster_mean_contour_k10.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_350/s_bird_350_size16_top1cluster_mean_contour_k10_members.csv,ok,
s_butterfly_11,resnet50_geirhos_tl,16,1,38.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_11/s_butterfly_11_size16_top1cluster_mean_contour_k38.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_11/s_butterfly_11_size16_top1cluster_mean_contour_k38.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_11/s_butterfly_11_size16_top1cluster_mean_contour_k38.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_11/s_butterfly_11_size16_top1cluster_mean_contour_k38_members.csv,ok,
s_butterfly_144,resnet50_geirhos_tl,16,1,38.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_144/s_butterfly_144_size16_top1cluster_mean_contour_k38.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_144/s_butterfly_144_size16_top1cluster_mean_contour_k38.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_144/s_butterfly_144_size16_top1cluster_mean_contour_k38.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_144/s_butterfly_144_size16_top1cluster_mean_contour_k38_members.csv,ok,
s_butterfly_350,resnet50_geirhos_tl,16,1,33.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_350/s_butterfly_350_size16_top1cluster_mean_contour_k33.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_350/s_butterfly_350_size16_top1cluster_mean_contour_k33.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_350/s_butterfly_350_size16_top1cluster_mean_contour_k33.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_350/s_butterfly_350_size16_top1cluster_mean_contour_k33_members.csv,ok,
s_butterfly_560,resnet50_geirhos_tl,16,1,0.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_560/s_butterfly_560_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_560/s_butterfly_560_size16_top1cluster_mean_contour_k0.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_560/s_butterfly_560_size16_top1cluster_mean_contour_k0.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_560/s_butterfly_560_size16_top1cluster_mean_contour_k0_members.csv,ok,
s_fish_350,resnet50_geirhos_tl,16,1,40.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_350/s_fish_350_size16_top1cluster_mean_contour_k40.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_350/s_fish_350_size16_top1cluster_mean_contour_k40.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_350/s_fish_350_size16_top1cluster_mean_contour_k40.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_350/s_fish_350_size16_top1cluster_mean_contour_k40_members.csv,ok,
s_fish_4,resnet50_geirhos_tl,16,1,0.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_4/s_fish_4_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_4/s_fish_4_size16_top1cluster_mean_contour_k0.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_4/s_fish_4_size16_top1cluster_mean_contour_k0.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_4/s_fish_4_size16_top1cluster_mean_contour_k0_members.csv,ok,
s_fish_500,resnet50_geirhos_tl,16,1,5.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_500/s_fish_500_size16_top1cluster_mean_contour_k5.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_500/s_fish_500_size16_top1cluster_mean_contour_k5.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_500/s_fish_500_size16_top1cluster_mean_contour_k5.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_500/s_fish_500_size16_top1cluster_mean_contour_k5_members.csv,ok,
s_fish_600,resnet50_geirhos_tl,16,1,18.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_600/s_fish_600_size16_top1cluster_mean_contour_k18.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_600/s_fish_600_size16_top1cluster_mean_contour_k18.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_600/s_fish_600_size16_top1cluster_mean_contour_k18.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_600/s_fish_600_size16_top1cluster_mean_contour_k18_members.csv,ok,
s_fish_700,resnet50_geirhos_tl,16,1,2.0,25.0,21,4.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_700/s_fish_700_size16_top1cluster_mean_contour_k2.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_700/s_fish_700_size16_top1cluster_mean_contour_k2.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_700/s_fish_700_size16_top1cluster_mean_contour_k2.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_700/s_fish_700_size16_top1cluster_mean_contour_k2_members.csv,ok,
s_fish_800,resnet50_geirhos_tl,16,1,17.0,25.0,6,19.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_800/s_fish_800_size16_top1cluster_mean_contour_k17.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_800/s_fish_800_size16_top1cluster_mean_contour_k17.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_800/s_fish_800_size16_top1cluster_mean_contour_k17.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_800/s_fish_800_size16_top1cluster_mean_contour_k17_members.csv,ok,
s_fish_900,resnet50_geirhos_tl,16,1,0.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_900/s_fish_900_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_900/s_fish_900_size16_top1cluster_mean_contour_k0.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_900/s_fish_900_size16_top1cluster_mean_contour_k0.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_900/s_fish_900_size16_top1cluster_mean_contour_k0_members.csv,ok,
s_oyster_350,resnet50_geirhos_tl,16,1,0.0,25.0,25,0.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_350/s_oyster_350_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_350/s_oyster_350_size16_top1cluster_mean_contour_k0.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_350/s_oyster_350_size16_top1cluster_mean_contour_k0.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_350/s_oyster_350_size16_top1cluster_mean_contour_k0_members.csv,ok,
s_oyster_4,resnet50_geirhos_tl,16,1,13.0,25.0,24,1.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_4/s_oyster_4_size16_top1cluster_mean_contour_k13.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_4/s_oyster_4_size16_top1cluster_mean_contour_k13.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_4/s_oyster_4_size16_top1cluster_mean_contour_k13.png,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_4/s_oyster_4_size16_top1cluster_mean_contour_k13_members.csv,ok,
