model_type,occluder_size,n,mean,sd,median,min,max
resnet50_geirhos_tl,8,19291,0.009808126291092402,0.15547050156077177,0.0144581794738769,-0.966578483581543,1.025190830230713
resnet50_geirhos_tl,16,8674,0.03594841208357895,0.28499998492085665,0.036579608917236245,-1.4397969245910645,2.3809499740600586
resnet50_geirhos_tl,32,3535,0.1941055276269117,0.5361808760319179,0.1433486938476562,-1.815239429473877,3.3689403533935547
resnet50_geirhos_tl,64,1178,0.8760765646734545,1.0478349174274033,0.6855473518371582,-2.131067276000977,4.79472541809082
resnet50_tl_20250829,8,19291,0.18000180724619905,0.17502687232855338,0.1595077514648437,-0.617218017578125,1.35833740234375
resnet50_tl_20250829,16,8674,0.5547451338571201,0.46842255143453837,0.48321533203125,-0.9445953369140624,2.784820556640625
resnet50_tl_20250829,32,3535,2.4559160375527647,1.6980966850683268,2.162506103515625,-1.5589447021484375,8.234756469726562
resnet50_tl_20250829,64,1178,7.493282732615446,3.7045691029041703,7.240684509277344,-1.7581939697265625,16.553062438964844
