case_id,model_type,occluder_size,n_positions,n_intersecting,prop_intersecting
s_butterfly_560,resnet50_geirhos_tl,8,3025,553,0.1828099173553719
s_butterfly_560,resnet50_geirhos_tl,16,729,244,0.3347050754458162
s_butterfly_560,resnet50_geirhos_tl,32,169,101,0.5976331360946746
s_butterfly_560,resnet50_geirhos_tl,64,36,35,0.9722222222222222
s_butterfly_560,resnet50_tl_20250829,8,3025,553,0.1828099173553719
s_butterfly_560,resnet50_tl_20250829,16,729,244,0.3347050754458162
s_butterfly_560,resnet50_tl_20250829,32,169,101,0.5976331360946746
s_butterfly_560,resnet50_tl_20250829,64,36,35,0.9722222222222222
s_fish_350,resnet50_geirhos_tl,8,3025,335,0.11074380165289256
s_fish_350,resnet50_geirhos_tl,16,729,154,0.2112482853223594
s_fish_350,resnet50_geirhos_tl,32,169,66,0.3905325443786982
s_fish_350,resnet50_geirhos_tl,64,36,24,0.6666666666666666
s_fish_350,resnet50_tl_20250829,8,3025,335,0.11074380165289256
s_fish_350,resnet50_tl_20250829,16,729,154,0.2112482853223594
s_fish_350,resnet50_tl_20250829,32,169,66,0.3905325443786982
s_fish_350,resnet50_tl_20250829,64,36,24,0.6666666666666666
s_fish_4,resnet50_geirhos_tl,8,3025,354,0.11702479338842975
s_fish_4,resnet50_geirhos_tl,16,729,161,0.22085048010973937
s_fish_4,resnet50_geirhos_tl,32,169,67,0.39644970414201186
s_fish_4,resnet50_geirhos_tl,64,36,24,0.6666666666666666
s_fish_4,resnet50_tl_20250829,8,3025,354,0.11702479338842975
s_fish_4,resnet50_tl_20250829,16,729,161,0.22085048010973937
s_fish_4,resnet50_tl_20250829,32,169,67,0.39644970414201186
s_fish_4,resnet50_tl_20250829,64,36,24,0.6666666666666666
s_fish_500,resnet50_geirhos_tl,8,3025,457,0.15107438016528926
s_fish_500,resnet50_geirhos_tl,16,729,206,0.2825788751714678
s_fish_500,resnet50_geirhos_tl,32,169,77,0.4556213017751479
s_fish_500,resnet50_geirhos_tl,64,36,24,0.6666666666666666
s_fish_500,resnet50_tl_20250829,8,3025,457,0.15107438016528926
s_fish_500,resnet50_tl_20250829,16,729,206,0.2825788751714678
s_fish_500,resnet50_tl_20250829,32,169,77,0.4556213017751479
s_fish_500,resnet50_tl_20250829,64,36,24,0.6666666666666666
s_fish_600,resnet50_geirhos_tl,8,3025,376,0.12429752066115703
s_fish_600,resnet50_geirhos_tl,16,729,176,0.24142661179698216
s_fish_600,resnet50_geirhos_tl,32,169,79,0.46745562130177515
s_fish_600,resnet50_geirhos_tl,64,36,27,0.75
s_fish_600,resnet50_tl_20250829,8,3025,376,0.12429752066115703
s_fish_600,resnet50_tl_20250829,16,729,176,0.24142661179698216
s_fish_600,resnet50_tl_20250829,32,169,79,0.46745562130177515
s_fish_600,resnet50_tl_20250829,64,36,27,0.75
s_fish_700,resnet50_geirhos_tl,8,3025,430,0.14214876033057852
s_fish_700,resnet50_geirhos_tl,16,729,192,0.26337448559670784
s_fish_700,resnet50_geirhos_tl,32,169,79,0.46745562130177515
s_fish_700,resnet50_geirhos_tl,64,36,29,0.8055555555555556
s_fish_700,resnet50_tl_20250829,8,3025,430,0.14214876033057852
s_fish_700,resnet50_tl_20250829,16,729,192,0.26337448559670784
s_fish_700,resnet50_tl_20250829,32,169,79,0.46745562130177515
s_fish_700,resnet50_tl_20250829,64,36,29,0.8055555555555556
s_fish_800,resnet50_geirhos_tl,8,3025,399,0.13190082644628098
s_fish_800,resnet50_geirhos_tl,16,729,169,0.23182441700960219
s_fish_800,resnet50_geirhos_tl,32,169,67,0.39644970414201186
s_fish_800,resnet50_geirhos_tl,64,36,22,0.6111111111111112
s_fish_800,resnet50_tl_20250829,8,3025,399,0.13190082644628098
s_fish_800,resnet50_tl_20250829,16,729,169,0.23182441700960219
s_fish_800,resnet50_tl_20250829,32,169,67,0.39644970414201186
s_fish_800,resnet50_tl_20250829,64,36,22,0.6111111111111112
s_fish_900,resnet50_geirhos_tl,8,3025,348,0.1150413223140496
s_fish_900,resnet50_geirhos_tl,16,729,153,0.20987654320987653
s_fish_900,resnet50_geirhos_tl,32,169,63,0.3727810650887574
s_fish_900,resnet50_geirhos_tl,64,36,22,0.6111111111111112
s_fish_900,resnet50_tl_20250829,8,3025,348,0.1150413223140496
s_fish_900,resnet50_tl_20250829,16,729,153,0.20987654320987653
s_fish_900,resnet50_tl_20250829,32,169,63,0.3727810650887574
s_fish_900,resnet50_tl_20250829,64,36,22,0.6111111111111112
s_oyster_350,resnet50_geirhos_tl,8,3025,431,0.1424793388429752
s_oyster_350,resnet50_geirhos_tl,16,729,201,0.2757201646090535
s_oyster_350,resnet50_geirhos_tl,32,169,86,0.5088757396449705
s_oyster_350,resnet50_geirhos_tl,64,36,30,0.8333333333333334
s_oyster_350,resnet50_tl_20250829,8,3025,431,0.1424793388429752
s_oyster_350,resnet50_tl_20250829,16,729,201,0.2757201646090535
s_oyster_350,resnet50_tl_20250829,32,169,86,0.5088757396449705
s_oyster_350,resnet50_tl_20250829,64,36,30,0.8333333333333334
s_oyster_4,resnet50_geirhos_tl,8,3025,364,0.12033057851239669
s_oyster_4,resnet50_geirhos_tl,16,729,176,0.24142661179698216
s_oyster_4,resnet50_geirhos_tl,32,169,74,0.4378698224852071
s_oyster_4,resnet50_geirhos_tl,64,36,28,0.7777777777777778
s_oyster_4,resnet50_tl_20250829,8,3025,364,0.12033057851239669
s_oyster_4,resnet50_tl_20250829,16,729,176,0.24142661179698216
s_oyster_4,resnet50_tl_20250829,32,169,74,0.4378698224852071
s_oyster_4,resnet50_tl_20250829,64,36,28,0.7777777777777778
