case_id,model_type,occluder_size,stride,x0,y0,x_center,y_center,x0_norm,y0_norm,x1_norm,y1_norm,x_center_norm,y_center_norm,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,intersects_shape,source_file
ns_cow_205,resnet50_tl_20250829,64,32,128,128,160.0,160.0,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,142.6285400390625,127.62875366210938,14.999786376953123,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_205/resnet50_tl_20250829/position_scores_size_64.csv
ns_cow_350,resnet50_geirhos_tl,8,4,8,56,12.0,60.0,0.03571428571428571,0.25,0.07142857142857142,0.2857142857142857,0.05357142857142857,0.26785714285714285,5.908603668212891,5.489727020263672,0.4188766479492187,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_350/resnet50_geirhos_tl/position_scores_size_8.csv
ns_cow_350,resnet50_geirhos_tl,16,8,8,48,16.0,56.0,0.03571428571428571,0.21428571428571427,0.10714285714285714,0.2857142857142857,0.07142857142857142,0.25,5.908603668212891,5.170877933502197,0.7377257347106934,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_350/resnet50_geirhos_tl/position_scores_size_16.csv
ns_cow_350,resnet50_geirhos_tl,32,16,0,80,16.0,96.0,0.0,0.35714285714285715,0.14285714285714285,0.5,0.07142857142857142,0.42857142857142855,5.908603668212891,5.060388565063477,0.8482151031494141,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_350/resnet50_geirhos_tl/position_scores_size_32.csv
ns_cow_350,resnet50_geirhos_tl,64,32,64,32,96.0,64.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,5.908603668212891,3.825796127319336,2.0828075408935547,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_350/resnet50_geirhos_tl/position_scores_size_64.csv
ns_cow_350,resnet50_tl_20250829,8,4,48,48,52.0,52.0,0.21428571428571427,0.21428571428571427,0.25,0.25,0.23214285714285715,0.23214285714285715,132.8637237548828,132.0489959716797,0.814727783203125,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_350/resnet50_tl_20250829/position_scores_size_8.csv
ns_cow_350,resnet50_tl_20250829,16,8,56,168,64.0,176.0,0.25,0.75,0.32142857142857145,0.8214285714285714,0.2857142857142857,0.7857142857142857,132.8637237548828,131.09500122070312,1.7687225341796875,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_350/resnet50_tl_20250829/position_scores_size_16.csv
ns_cow_350,resnet50_tl_20250829,32,16,144,16,160.0,32.0,0.6428571428571429,0.07142857142857142,0.7857142857142857,0.21428571428571427,0.7142857142857143,0.14285714285714285,132.8637237548828,126.82109832763672,6.042625427246094,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_350/resnet50_tl_20250829/position_scores_size_32.csv
ns_cow_350,resnet50_tl_20250829,64,32,32,0,64.0,32.0,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,132.8637237548828,118.17972564697266,14.683998107910156,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_350/resnet50_tl_20250829/position_scores_size_64.csv
ns_cow_510,resnet50_geirhos_tl,8,4,20,76,24.0,80.0,0.08928571428571429,0.3392857142857143,0.125,0.375,0.10714285714285714,0.35714285714285715,6.473172187805176,6.123373031616211,0.3497991561889648,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_510/resnet50_geirhos_tl/position_scores_size_8.csv
