model_type,occluder_size,mean_all,n_all,mean_intersecting,n_intersecting,mean_difference
resnet50_geirhos_tl,8,0.009861209138365813,121000,0.009808126291092402,19291,-5.308284727341059e-05
resnet50_geirhos_tl,16,0.036092639934215354,29160,0.03594841208357895,8674,-0.0001442278506364053
resnet50_geirhos_tl,32,0.1853470353861532,6760,0.1941055276269117,3535,0.008758492240758475
resnet50_geirhos_tl,64,0.8245496083878808,1440,0.8760765646734545,1178,0.05152695628557369
resnet50_tl_20250829,8,0.1702051090208952,121000,0.18000180724619905,19291,0.009796698225303851
resnet50_tl_20250829,16,0.5661493324939115,29160,0.5547451338571201,8674,-0.01140419863679143
resnet50_tl_20250829,32,2.5459596927349386,6760,2.4559160375527647,3535,-0.09004365518217394
resnet50_tl_20250829,64,7.611295440461901,1440,7.493282732615446,1178,-0.11801270784645457
