occluder_size,n_pairs,mean_shape_entropy,mean_texture_entropy,mean_diff_shape_minus_texture,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value
8,39,2.248290570404136,2.2622885098019268,-0.013997939397790624,-0.45619951398311687,0.650843229169334,138.0,0.000249561282544164
16,40,2.2305792709939203,2.2728314833306795,-0.04225221233675895,-3.5211731648529865,0.001111468599925844,140.0,0.00014978252875152975
32,40,2.224797186521865,2.2573013024501583,-0.03250411592829309,-1.7524824525268516,0.08755030203637251,262.0,0.046610625882749446
64,40,2.2022887054479754,2.2372015133883556,-0.03491280794038017,-1.3411633545900716,0.18762623059912734,308.0,0.17435350978121278
